t_s,ang_deg
0.000,0.00
0.006,0.00
0.011,0.40
0.016,1.20
0.021,2.00
0.026,3.00
0.031,4.01
0.036,5.21
0.041,6.21
0.046,7.41
0.051,8.81
0.056,10.22
0.061,12.02
0.066,12.82
0.071,14.42
0.076,16.03
0.081,17.23
0.086,18.83
0.091,20.43
0.096,22.03
0.101,23.64
0.106,25.24
0.111,26.84
0.116,28.45
0.121,30.05
0.126,31.65
0.131,33.45
0.136,35.26
0.141,36.86
0.146,38.46
0.151,40.26
0.156,41.87
0.161,43.47
0.166,45.07
0.171,46.47
0.176,48.08
0.181,49.68
0.186,51.08
0.191,52.68
0.196,53.89
0.201,55.29
0.206,56.89
0.211,58.09
0.216,59.49
0.221,60.90
0.226,62.10
0.231,63.50
0.236,64.70
0.241,66.10
0.246,67.31
0.251,68.51
0.256,69.71
0.261,70.91
0.266,71.91
0.271,73.12
0.276,74.12
0.281,75.32
0.286,76.32
0.291,77.52
0.296,78.52
0.301,79.53
0.306,80.53
0.311,81.53
0.316,82.53
0.321,83.33
0.326,84.33
0.331,85.34
0.336,86.14
0.341,87.14
0.346,87.94
0.351,88.74
0.356,89.54
0.361,90.34
0.366,90.94
0.371,91.95
0.376,92.55
0.381,93.35
0.386,93.95
0.391,94.35
0.396,94.95
0.401,95.55
0.406,95.75
0.411,96.35
0.416,96.75
0.421,97.35
0.426,97.55
0.431,97.76
0.436,98.16
0.441,98.36
0.446,98.76
0.451,98.76
0.456,98.96
0.461,99.56
0.466,99.76
0.471,99.76
0.476,99.36
0.481,99.36
0.486,99.56
0.491,99.56
0.496,99.56
0.501,98.16
0.506,98.16
0.511,98.16
0.516,98.16
0.521,98.16
0.526,98.16
0.531,98.16
0.536,98.16
0.541,98.56
0.546,98.76
0.551,98.76
0.556,98.76
0.561,98.76
0.566,98.76
0.571,98.76
0.576,98.76
0.581,98.76
0.586,98.76
0.591,98.76
0.596,98.76
0.601,98.76
0.606,98.76
0.611,98.76
0.616,98.76
0.621,98.76
0.626,98.76
0.631,98.76
0.636,98.76
0.641,98.76
0.646,98.76
0.651,98.76
0.656,98.76
0.661,98.76
0.666,98.76
0.671,98.76
0.676,98.76
0.681,98.76
0.686,98.76
0.691,98.76
0.696,98.76
0.701,98.76
0.706,98.76
0.711,98.76
0.716,98.76
0.721,98.76
0.726,98.76
0.731,98.76
0.736,98.76
0.741,98.76
0.746,98.76
0.751,98.76
0.756,98.76
0.761,98.76
0.766,98.76
0.771,98.76
0.776,98.76
0.781,98.76
0.786,98.76
0.791,98.76
0.796,98.76
0.801,98.76
0.806,98.76
0.811,98.76
0.816,98.76
0.821,98.76
0.826,98.76
0.831,98.76
0.836,98.76
0.841,98.76
0.846,98.76
0.851,98.76
0.856,98.76
0.861,98.76
0.866,98.76
0.871,98.76
0.876,98.76
0.881,98.76
0.886,98.76
0.891,98.76
0.896,98.76
0.901,98.76
0.906,98.76
0.911,98.76
0.916,98.76
0.921,98.76
0.926,98.76
0.931,98.76
0.936,98.76
0.941,98.76
0.946,98.76
0.951,98.76
0.956,98.76
0.961,98.76
0.966,98.76
0.971,98.76
0.976,98.76
0.981,98.76
0.986,98.76
0.991,98.76
0.996,98.76
1.001,98.76
1.006,98.76
1.011,98.76
1.016,98.76
1.021,98.76
1.026,98.76
1.031,98.76
1.036,98.76
1.041,98.76
1.046,98.76
1.051,98.76
1.056,98.76
1.061,98.76
1.066,98.76
1.071,98.76
1.076,98.76
1.081,98.76
1.086,98.76
1.091,98.76
1.096,98.76
1.101,98.76
1.106,98.76
1.111,98.76
1.116,98.76
1.121,98.76
1.126,98.76
1.131,98.76
1.136,98.76
1.141,98.76
1.146,98.76
1.151,98.76
1.156,98.76
1.161,98.76
1.166,98.76
1.171,98.76
1.176,98.76
1.181,98.76
1.186,98.76
1.191,98.76
1.196,98.76
1.201,98.76
1.206,98.76
1.211,98.76
1.216,98.76
1.221,98.76
1.226,98.76
1.231,98.76
1.236,98.76
1.241,98.76
1.246,98.76
1.251,98.76
1.256,98.76
1.261,98.76
1.266,98.76
1.271,98.76
1.276,98.76
1.281,98.76
1.286,98.76
1.291,98.76
1.296,98.76
1.301,98.76
1.306,98.76
1.311,98.76
1.316,98.76
1.321,98.76
1.326,98.76
1.331,98.76
1.336,98.76
1.341,98.76
1.346,98.76
1.351,98.76
1.356,98.76
1.361,98.76
1.366,98.76
1.371,98.76
1.376,98.76
1.381,98.76
1.386,98.76
1.391,98.76
1.396,98.76
1.401,98.76
1.406,98.76
1.411,98.76
1.416,98.76
1.421,98.76
1.426,98.76
1.431,98.76
1.436,98.76
1.441,98.76
1.446,98.76
1.451,98.76
1.456,98.76
1.461,98.76
1.466,98.76
1.471,98.76
1.476,98.76
1.481,98.76
1.486,98.76
1.491,98.76
1.496,98.76
1.501,98.76
1.506,98.76
1.511,98.76
1.516,98.76
1.521,98.76
1.526,98.76
1.531,98.76
1.536,98.76
1.541,98.76
1.546,98.76
1.551,98.76
1.556,98.76
1.561,98.76
1.566,98.76
1.571,98.76
1.576,98.76
1.581,98.76
1.586,98.76
1.591,98.76
1.596,98.76
1.601,98.76
1.606,98.76
1.611,98.76
1.616,98.76
1.621,98.76
1.626,98.76
1.631,98.76
1.636,98.76
1.641,98.76
1.646,98.76
1.651,98.76
1.656,98.76
1.661,98.76
1.666,98.76
1.671,98.76
1.676,98.76
1.681,98.76
1.686,98.76
1.691,98.76
1.696,98.76
1.701,98.76
1.706,98.76
1.711,98.76
1.716,98.76
1.721,98.76
1.726,98.76
1.731,98.76
1.736,98.76
1.741,98.76
1.746,98.76
1.751,98.76
1.756,98.76
1.761,98.76
1.766,98.76
1.771,98.76
1.776,98.76
1.781,98.76
1.786,98.76
1.791,98.76
1.796,98.76
1.801,98.76
1.806,98.76
1.811,98.76
1.816,98.76
1.821,98.76
1.826,98.76
1.831,98.76
1.836,98.76
1.841,98.76
1.846,98.76
1.851,98.76
1.856,98.76
1.861,98.76
1.866,98.76
1.871,98.76
1.876,98.76
1.881,98.76
1.886,98.76
1.891,98.76
1.896,98.76
1.901,98.76
1.906,98.76
1.911,98.76
1.916,98.76
1.921,98.76
1.926,98.76
1.931,98.76
1.936,98.76
1.941,98.76
1.946,98.76
1.951,98.76
1.956,98.76
1.961,98.76
1.966,98.76
1.971,98.76
1.976,98.76
1.981,98.76
1.986,98.76
1.991,98.76
1.996,98.76
2.001,98.76
2.006,98.76
2.011,98.76
2.016,98.76
2.021,98.76
2.026,98.76
2.031,98.76
2.036,98.76
2.041,98.76
2.046,98.76
2.051,98.76
2.056,98.76
2.061,98.76
2.066,98.76
2.071,98.76
2.076,98.76
2.081,98.76
2.086,98.76
2.091,98.76
2.096,98.76
2.101,98.76
2.106,98.76
2.111,98.76
2.116,98.76
2.121,98.76
2.126,98.76
2.131,98.76
2.136,98.76
2.141,98.76
2.146,98.76
2.151,98.76
2.156,98.76
2.161,98.76
2.166,98.76
2.171,98.76
2.176,98.76
2.181,98.76
2.186,98.76
2.191,98.76
2.196,98.76
2.201,98.76
2.206,98.76
2.211,98.76
2.216,98.76
2.221,98.76
2.226,98.76
2.231,98.76
2.236,98.76
2.241,98.76
2.246,98.76
2.251,98.76
2.256,98.76
2.261,98.76
2.266,98.76
2.271,98.76
2.276,98.76
2.281,98.76
2.286,98.76
2.291,98.76
2.296,98.76
2.301,98.76
2.306,98.76
2.311,98.76
2.316,98.76
2.321,98.76
2.326,98.76
2.331,98.76
2.336,98.76
2.341,98.76
2.346,98.76
2.351,98.76
2.356,98.76
2.361,98.76
2.366,98.76
2.371,98.76
2.376,98.76
2.381,98.76
2.386,98.76
2.391,98.76
2.396,98.76
2.401,98.76
2.406,98.76
2.411,98.76
2.416,98.76
2.421,98.76
2.426,98.76
2.431,98.76
2.436,98.76
2.441,98.76
2.446,98.76
2.451,98.76
2.456,98.76
2.461,98.76
2.466,98.76
2.471,98.76
2.476,98.76
2.481,98.76
2.486,98.76
2.491,98.76
2.496,98.76
